LLM,Benchmark,Max,Mean,STD,Q10,Q25,Q50,Q75,Q90,Skew,Kurt
gemma3-4b,gpqa-test,0.35289115646258506,0.3258503401360544,0.3344387755102041,0.4935374149659864,0.38579931972789117,0.33435374149659863,0.32363945578231296,0.3306122448979592,0.3325680272108844,0.340391156462585
gemma3-4b,scibench-test,0.7569428292319859,0.7187669597308151,0.7479803383417841,0.8151990200182971,0.8161138763548401,0.7873656789319441,0.7259152439875332,0.6897939247336837,0.5942844738025461,0.5760183591508893
gemma3-4b,svamp-test,0.7944727272727273,0.7460363636363637,0.7515636363636364,0.7789090909090909,0.7893818181818181,0.7927272727272727,0.7432727272727273,0.7483636363636363,0.6584727272727273,0.6330181818181819
gemma3-4b,livemathbench-test,0.5944841675178755,0.550561797752809,0.550561797752809,0.5250255362614913,0.5250255362614913,0.5638406537282942,0.5648621041879469,0.5485188968335035,0.567926455566905,0.5587334014300307
gemma3-4b,gsmsymbolic-test,0.7708204951409907,0.7460813607017756,0.773344226321818,0.7577562587407849,0.7663665276256462,0.7595572996995088,0.7282606673463683,0.7256475903856591,0.6400623720822229,0.6240734968950619
gemma3-4b,theoremqa-test,0.6235962105527323,0.6000141163184642,0.6165537361189536,0.6458372545329067,0.6459156785243743,0.6287878787878788,0.5959282263630089,0.5862428634167764,0.5412274923144489,0.5403256164125729
gemma3-4b,olympiadbench-test,0.8327550533184784,0.822314181123667,0.8472733060350441,0.890738356025639,0.8916441190514086,0.8753751103265666,0.829927799400981,0.8023309652308539,0.7273219220696541,0.7153154978079377
gemma3-4b,matscibench-test,0.6532174320838777,0.6384450473989214,0.6449100592905236,0.6303386594312129,0.6405386393327304,0.6508391116470706,0.6381603188959233,0.6257997521187151,0.6104746591632332,0.6085653033195993
gemma3-12b,gsm-test,0.7402504105090313,0.6899070756829379,0.7097327959396924,0.7608318405732201,0.7643584863412449,0.7312472010747874,0.6891047171219585,0.6655750858337066,0.5870559038662487,0.5673701298701299
gemma3-12b,mathhendrycks-test,0.8333793027360988,0.5522396293027361,0.6477272727272727,0.8061286407766991,0.8321657105030891,0.7333682700794352,0.5661407766990292,0.5108120035304502,0.4044296116504854,0.39634819064430715
gemma3-12b,gpqa-test,0.60498046875,0.5575764973958333,0.5886637369791667,0.5517985026041667,0.5461018880208333,0.53955078125,0.5510660807291667,0.5901285807291666,0.5486246744791667,0.5609130859375
gemma3-12b,scibench-test,0.719315750493746,0.6518474325213957,0.6728624917709018,0.712794190256748,0.7122181533903884,0.6984241277156024,0.6583175608953258,0.630842659644503,0.5706776662277814,0.5611524851876234
gemma3-12b,svamp-test,0.8371478873239436,0.7929137323943662,0.8320862676056338,0.8169014084507042,0.817781690140845,0.805237676056338,0.7691461267605634,0.7816901408450705,0.6784771126760564,0.6527288732394366
gemma3-12b,livemathbench-test,0.48958333333333337,0.4327651515151515,0.4251893939393939,0.49810606060606055,0.4886363636363636,0.459280303030303,0.4147727272727273,0.4393939393939394,0.4251893939393939,0.428030303030303
gemma3-12b,gsmsymbolic-test,0.7251280987067422,0.7007430415550115,0.7224788308232987,0.762630767983132,0.7787030875781172,0.7597421062901432,0.6910151891122562,0.6835004899428041,0.6232660327452485,0.6200618386790278
gemma3-12b,theoremqa-test,0.6466976316130053,0.5859349160926647,0.6102299362965733,0.6161329287758301,0.6138680778245926,0.6001136020477128,0.5804129937734575,0.5745100012942006,0.5338721042262837,0.530679742885492
gemma3-12b,olympiadbench-test,0.8195848059789412,0.7891033429055297,0.8118488145202858,0.848669556733672,0.8535545983359105,0.8376638318238715,0.7907462631617702,0.7711761836389073,0.7007745195493704,0.6913127715190339
gemma3-12b,matscibench-test,0.6583934169278997,0.6034247648902821,0.6281269592476488,0.610101880877743,0.6069200626959248,0.5932445141065831,0.5871238244514108,0.6018495297805642,0.5597648902821317,0.5595532915360502
oss-20b,gsm-test,0.6991172017348012,0.7444760951574408,0.747196345625786,0.7243308440475275,0.7177483511689378,0.72326584032643,0.7475941180999307,0.748274180717017,0.744771216670516,0.7505838273410834
oss-20b,mathhendrycks-test,0.813738492744578,0.7735606178811048,0.7770713059759713,0.7292869402402871,0.7448509907941957,0.7454361054766734,0.7702449680137308,0.7843267280386955,0.76763145576533,0.7749258854735528
oss-20b,gpqa-test,0.5168922028905459,0.6862514959035257,0.686642732210255,0.7014176562643837,0.6771610052471694,0.6766086716376691,0.690647150879131,0.6786569087728989,0.6894044002577557,0.6969069317867992
oss-20b,scibench-test,0.5585373194221509,0.5399612092027822,0.5352544810058855,0.5425611958266452,0.5506453986088817,0.5505534376672017,0.5421849919743178,0.5365335741037989,0.5389412787586945,0.5364666934189406
oss-20b,svamp-test,0.76330246429132,0.7717783707424267,0.7121331031235285,0.7907706796421284,0.7923402919478889,0.7720922932035786,0.7807251608852613,0.7323811018678387,0.7808821221158374,0.7736619055093392
oss-20b,livemathbench-test,0.6041784302653868,0.6442687747035574,0.7001693958215697,0.5962732919254659,0.5866741953698476,0.6228119706380576,0.6595143986448334,0.6781479390175043,0.6470920383963862,0.67871259175607
oss-20b,gsmsymbolic-test,0.7044505881715184,0.679736203718762,0.6856310477313383,0.6636389894020708,0.668710528812273,0.6619055605247466,0.6814675150430964,0.680638704802949,0.6744673083699246,0.6782318940749174
oss-20b,theoremqa-test,0.6038641378991065,0.508302341013256,0.5156093270165584,0.531018039845064,0.5207095569512816,0.5102236076603757,0.5096526288174564,0.514583108285366,0.5050847980741038,0.508217465779849
oss-20b,olympiadbench-test,0.7405258555958548,0.858294644048622,0.8498417573400097,0.8479077910360364,0.8436674055971494,0.8420680493231117,0.8600194790838855,0.8642817735128279,0.8557751101922614,0.8607245502183928
oss-20b,matscibench-test,0.5667314007831249,0.6726506252368322,0.6796253315649867,0.6450675761020588,0.6491213527851458,0.6592459264873058,0.6684113300492611,0.6782201275735757,0.6670890173045345,0.6710835859542756
