llm,composition,es_mae,atc_mean,atc_std,atc_max,atc_q10,atc_q25,atc_q50,atc_q75,atc_q90,atc_skewness,atc_kurtosis,atc_se_sum,atc_nll_avg,atc_nll_max,atc_nll_sum,atc_lntp,atc_mtp,atc_ppl
phi3-3b,gsmsymbolic-test+scibench-test,0.1006944978825639,0.07080156559987368,0.04930811343005631,0.04606488888714042,0.6640380008770256,0.08701888548039124,0.08877176306189812,0.09625012563661602,0.0770837588044619,0.1713158336341294,0.18609716981556876,0.08779638003178712,0.07497679032596026,0.06256353385952802,0.08623184492583637,0.11584270424744296,0.06256353385952802,0.07497679032596026
phi3-3b,gsmsymbolic-test+theoremqa-test,0.1283965901856289,0.0658266272933792,0.04187513804761559,0.051510950496040354,0.11480354441719794,0.09644805211347794,0.0768058175094306,0.09111364148883953,0.07485319237192398,0.17259544066102556,0.18682678259978336,0.09077836347241378,0.07083560223540701,0.06081468716755837,0.09066867664035397,0.11291437958493604,0.06081468716755837,0.07083560223540701
phi3-3b,gsmsymbolic-test+livemathbench-test,0.1173693069585767,0.06556424442858667,0.04563526447550528,0.05332043919360422,0.6474210909067936,0.1000646985788661,0.0710004174913649,0.0951302231619314,0.07812092998905919,0.16545084060702214,0.17822611013996448,0.09072947302765876,0.07295254435684553,0.05293156341154347,0.09024856749601236,0.10287245285702584,0.05293156341154347,0.07295254435684553
phi3-3b,gsmsymbolic-test+matscibench-test,0.065145547677789,0.06224204815764216,0.04326829796916008,0.05063019758843351,0.1149958812441807,0.0955969799710268,0.07992919353236119,0.08376881812736622,0.07503402874652707,0.15619729140344862,0.17618394444516922,0.09626221205808906,0.06307278191354197,0.06207970828703013,0.09469737627569834,0.11497198313840742,0.06207970828703013,0.06307278191354197
phi3-3b,mathhendrycks-test+svamp-test,0.0934041825732746,0.06702153368396636,0.05351242955179395,0.08188604099152211,0.06630757872539643,0.11257138503688009,0.1076953890096235,0.08553096752806712,0.07717164894495808,0.15789616037830484,0.17143490643658454,0.12199135524799695,0.07861984583018657,0.11670342979070387,0.11939457774795273,0.12210658820124314,0.11670342979070387,0.07861984583018657
phi3-3b,olympiadbench-test+svamp-test,0.0416600165273187,0.0620291088801081,0.04331101875157563,0.05343085807744451,0.06571618813019295,0.0887277353451667,0.08550491517954725,0.08242416549297858,0.07339874535839601,0.1554778474479546,0.16481912288502937,0.09368568207612402,0.076140808629738,0.10947815728062711,0.09181243568172444,0.12001845263691421,0.10947815728062711,0.076140808629738
phi3-3b,gpqa-test+svamp-test,0.0654522292169429,0.15008789238123896,0.15586881764722768,0.11623938965931994,0.05781732963844188,0.06406945174020157,0.09743707994967618,0.17450000395240775,0.14285207072261283,0.23097665740327916,0.25528075339489137,0.17312727227561048,0.1496631943643683,0.09910809790495083,0.16673368521264073,0.22893371498611356,0.09910809790495083,0.1496631943643683
phi3-3b,scibench-test+svamp-test,0.0774142794996774,0.08004190791982305,0.05422144676338965,0.06991280213385907,0.06255533165437994,0.05896119784238111,0.08743603837453076,0.10584374113813273,0.08409434499185575,0.1643692863954464,0.17446971493923552,0.12276158436174996,0.08615893082220707,0.06627273063261217,0.12375373922482583,0.14756033117772008,0.06627273063261217,0.08615893082220707
phi3-3b,svamp-test+theoremqa-test,0.1150850089391451,0.07856315729323733,0.06433746707419981,0.07020852241188343,0.06892555392922031,0.055162423531885475,0.07343257801997687,0.10402756413558967,0.09111584953987387,0.17689564558385892,0.18909533052940639,0.12131442755359448,0.08870539455133605,0.06647512156699573,0.12007154725814942,0.1452409895316809,0.06647512156699573,0.08870539455133605
phi3-3b,livemathbench-test+svamp-test,0.0676138094464009,0.14282740367919347,0.09191015711932557,0.057522062383993544,0.12372157356291806,0.0789679860547213,0.14602622533134507,0.1732614285690543,0.1336289242969217,0.23842833634457458,0.25769704077224587,0.09558480055308885,0.1349965961693133,0.05700010940845972,0.0909904919270022,0.12278976173829188,0.056835600737939494,0.1349965961693133
phi3-3b,matscibench-test+svamp-test,0.0566158115302023,0.08185539483998235,0.04377011644009714,0.07668415185314849,0.06419387685066794,0.06508040392979719,0.09941162684879626,0.11767020098773673,0.09472280383051421,0.1756076774601794,0.1849978364278863,0.12419218508503686,0.08215691033197106,0.061101566962369805,0.12530297231367565,0.12773950107808357,0.061101566962369805,0.08215691033197106
phi3-3b,mathhendrycks-test+olympiadbench-test,0.1059179637972383,0.0764941026936528,0.056244114278000426,0.05686196885110064,0.07386060563535457,0.10455394263652158,0.08739490529930806,0.09793406670520713,0.09582611194446027,0.17646823661168964,0.19213920128427858,0.09047337977140182,0.08633994706045153,0.12371545215033138,0.09781417892664826,0.12227150103670018,0.12371545215033138,0.08633994706045153
